second,temp,o2,filt_o2,pressure,filt_press,fuel,fan,error
141,1449.9946082442452,2.0838344776635047,2.124694818076787,-2.1935889978888823,-2.2055422311973905,17.072291880599554,900.5496415571342,0.005391755754772021
142,1450.0621199475088,2.082344944967364,2.1232753879483584,-2.2121501058441737,-2.204278440279026,17.072291880599554,900.5496415571342,0.062119947508790574
143,1449.9741231915305,2.082256751355132,2.1218535301434,-2.2072406659568484,-2.2051106953849775,17.072291880599554,900.5496415571342,0.02587680846954754
144,1450.0203237727055,2.0920800170437492,2.1204780085277046,-2.20363655947476,-2.205335892818646,17.072291880599554,900.5496415571342,0.02032377270552388
145,1450.1116024655976,2.089596316800799,2.119491517419668,-2.1992952127618235,-2.2051562257786204,17.072291880599554,900.5496415571342,0.1116024655975707
146,1450.0780541954261,2.0938683999619596,2.1184530206543832,-2.196872681119689,-2.2045365528556657,17.072291880599554,900.5496415571342,0.078054195426148
147,1450.0593940028023,2.0869063333019433,2.1175990057668823,-2.1881592725972006,-2.203726267366421,17.072291880599554,900.5496415571342,0.05939400280226437
148,1450.039438726874,2.0921674464409192,2.1165328147795943,-2.183660535774232,-2.2020804008374406,17.072291880599554,900.5496415571342,0.039438726874095664
149,1450.0549765748895,2.084066616071893,2.1156864223560845,-2.187011926913429,-2.200132906165199,17.072291880599554,900.5496415571342,0.05497657488945151
150,1450.1096470954153,2.076916592907357,2.114588032336051,-2.1798245906078195,-2.1987456518558037,17.010444672563203,900.5700543873946,0.10964709541531192
151,1450.060297711117,2.0980957984219413,2.1132794282500402,-2.1766530524788488,-2.1967451667356817,17.010444672563203,900.5700543873946,0.06029771111707305
152,1450.0585130426616,2.114502302304192,2.112751991437788,-2.1956564459065184,-2.1946208685752455,17.010444672563203,900.5700543873946,0.058513042661616055
153,1450.0641191761028,2.103946392938657,2.112812792179463,-2.192541671176775,-2.19473035804916,17.010444672563203,900.5700543873946,0.06411917610284945
154,1450.073510440385,2.112397212420091,2.1125047998458615,-2.191383401692847,-2.1944989526610885,17.010444672563203,900.5700543873946,0.07351044038500731
