adim,fuel,fan,sicaklik,o2,efficiency
196,14.265,1040.5,1293.46,6.073,0.4871
197,14.277,1040.3,1295.64,6.094,0.4854
198,14.376,1038.2,1297.8,6.095,0.4845
199,14.256,1035.4,1300.04,6.107,0.4831
200,14.303,1037.8,1302.18,6.113,0.482
201,14.473,1038.6,1304.06,6.099,0.4818
202,14.629,1035.6,1305.62,6.066,0.4824
203,14.41,1034.1,1307.11,6.066,0.4819
204,14.505,1035.0,1308.42,6.055,0.4817
205,14.513,1039.9,1309.53,6.052,0.4814
206,14.548,1036.7,1310.54,6.042,0.4814
207,14.414,1036.8,1311.58,6.05,0.4807
208,14.375,1038.9,1312.65,6.063,0.4797
209,14.357,1036.2,1313.81,6.072,0.4789
210,14.407,1035.7,1314.95,6.072,0.4784
211,14.291,1036.3,1316.14,6.087,0.4774
212,14.319,1030.2,1317.43,6.087,0.4769
213,14.172,1032.8,1318.8,6.108,0.4755
214,14.117,1037.2,1320.27,6.135,0.4739
215,14.197,1038.7,1321.73,6.148,0.4729
216,14.117,1036.7,1323.33,6.165,0.4716
217,14.11,1038.6,1324.96,6.18,0.4704
218,14.07,1041.4,1326.63,6.2,0.469
219,13.756,1041.8,1328.67,6.252,0.4665
220,13.586,1045.3,1331.11,6.315,0.4634
221,13.696,1042.6,1333.78,6.347,0.4614
222,13.867,1044.2,1336.35,6.352,0.4602
223,13.643,1041.9,1339.11,6.379,0.4583
224,13.584,1039.7,1342.03,6.404,0.4564
225,13.643,1039.9,1344.92,6.416,0.455
226,13.734,1040.8,1347.64,6.416,0.4539
227,13.784,1040.9,1350.19,6.41,0.4531
228,13.703,1041.4,1352.67,6.415,0.452
229,13.437,1042.5,1355.34,6.452,0.45
230,13.588,1041.6,1357.99,6.461,0.45
231,13.564,1037.3,1360.65,6.465,0.45
232,13.67,1034.5,1363.14,6.453,0.45
233,13.506,1034.8,1365.61,6.463,0.45
234,13.326,1035.8,1368.24,6.493,0.45
235,13.377,1034.4,1370.91,6.508,0.45
236,13.415,1030.3,1373.57,6.51,0.45
237,13.433,1028.6,1376.15,6.507,0.45
238,13.369,1028.9,1378.66,6.513,0.45
239,13.209,1032.2,1381.24,6.54,0.45
240,13.286,1033.7,1383.78,6.553,0.45
241,13.268,1028.6,1386.37,6.559,0.45
242,13.147,1027.1,1389.06,6.576,0.45
243,13.008,1025.7,1391.91,6.604,0.45
244,13.105,1025.5,1394.74,6.613,0.45
245,13.418,1025.6,1397.15,6.583,0.45
246,13.314,1024.8,1399.36,6.571,0.45
247,13.371,1021.8,1401.38,6.553,0.45
248,13.347,1018.2,1403.26,6.538,0.45
249,13.317,1016.2,1405.02,6.527,0.45
250,13.371,1018.9,1406.53,6.516,0.45
251,13.431,1016.9,1407.85,6.499,0.45
252,13.446,1016.2,1409.0,6.483,0.45
253,13.621,1017.3,1409.77,6.452,0.45
254,13.614,1018.1,1410.29,6.43,0.45
