second,temp,o2,fuel,fan,error,pressure
24,1449.7380444274131,2.290530100245487,18.71998391625086,900.1375650233493,0.26195557258688495,-2.3225898641420684
25,1449.728927865287,2.2855920848121634,18.71998391625086,900.1375650233493,0.27107213471299474,-2.3004971999679515
26,1449.7193812395003,2.2451201227028714,18.71998391625086,900.1375650233493,0.28061876049969214,-2.2874462514557847
27,1449.7070808853125,2.2491680122205,18.71998391625086,900.1375650233493,0.29291911468749277,-2.273292052452787
28,1449.703907084728,2.2340912567986577,18.71998391625086,900.1375650233493,0.2960929152720837,-2.2772320403714725
29,1449.7052745165981,2.2143814713965435,18.71998391625086,900.1375650233493,0.2947254834018622,-2.268042002330051
30,1449.700786122544,2.21645878165594,19.22051586920081,900.211111105027,0.29921387745594075,-2.259868870751322
31,1449.6852301904105,2.203224939729835,19.22051586920081,900.211111105027,0.3147698095895066,-2.2587985653621243
32,1449.6720137631971,2.1963959264402955,19.22051586920081,900.211111105027,0.32798623680287164,-2.2500720687332945
33,1449.657380878519,2.1660840291206505,19.22051586920081,900.211111105027,0.34261912148099327,-2.2480763812088935
34,1449.643618668698,2.1401029378463576,19.22051586920081,900.211111105027,0.3563813313019182,-2.249372622938625
35,1449.6332830117854,2.1561621762185137,19.22051586920081,900.211111105027,0.36671698821464815,-2.2401476904405273
36,1449.6091175518939,2.1524329497027423,19.22051586920081,900.211111105027,0.39088244810614015,-2.231260896533
37,1449.6082438665053,2.1460212859113916,19.22051586920081,900.211111105027,0.3917561334947095,-2.2272506235822638
38,1449.607190075332,2.142723787266167,19.22051586920081,900.211111105027,0.39280992466797215,-2.2270928338983875
39,1449.6122747918223,2.1528517746738713,19.22051586920081,900.211111105027,0.38772520817769873,-2.242476027267183
40,1449.6277878669557,2.135011101571317,19.76135053048729,900.2873696371543,0.372212133044286,-2.2311057298334536
41,1449.658465191873,2.133291794514507,19.76135053048729,900.2873696371543,0.3415348081271077,-2.2471662411614624
42,1449.685310312145,2.1181191921682485,19.76135053048729,900.2873696371543,0.31468968785497964,-2.2623926408034354
43,1449.708649717668,2.0852964865080743,19.76135053048729,900.2873696371543,0.29135028233190496,-2.2692019095098206
44,1449.7211072393332,2.0794477382498,19.76135053048729,900.2873696371543,0.2788927606668494,-2.282047817368444
45,1449.7290933338409,2.061342219979913,19.76135053048729,900.2873696371543,0.27090666615913506,-2.2563217099693427
