step,temperature,error
112,1449.774583159939,-0.225416840060916
113,1449.7965188379442,-0.203481162055823
114,1449.7705406303046,-0.22945936969540526
115,1449.8509723145926,-0.14902768540741818
116,1449.95375817795,-0.04624182204997851
117,1449.9240097527872,-0.07599024721275782
118,1449.9946374029505,-0.005362597049497708
119,1450.069125923032,0.06912592303206111
120,1450.0482760723244,0.048276072324370034
121,1450.0354235648126,0.03542356481261777
122,1449.93481131828,-0.06518868171997383
123,1449.9534621216512,-0.04653787834877221
124,1450.0055835611695,0.005583561169487439
125,1450.0199275956763,0.01992759567633584
126,1450.0270981920494,0.027098192049379577
127,1450.0739021776058,0.07390217760575979
128,1450.0467024652946,0.04670246529462929
129,1450.0074179146427,0.007417914642701362
130,1450.0410716059155,0.04107160591547654
131,1450.0931804184252,0.09318041842516323
132,1450.1659611497246,0.16596114972458054
133,1450.0799456817645,0.07994568176445682
134,1450.0341516415745,0.034151641574453606
135,1450.0551734166465,0.05517341664653941
136,1450.0361194995476,0.0361194995475671
137,1449.9218767453754,-0.07812325462464287
138,1450.0050605253223,0.005060525322278409
139,1450.0458255473652,0.045825547365211605
140,1449.9901593735835,-0.009840626416462328
141,1449.9952224423075,-0.004777557692477785
142,1449.915790231607,-0.08420976839306604
143,1449.9509875346678,-0.049012465332225474
144,1449.9854130741212,-0.014586925878802504
145,1450.0106865926882,0.010686592688216479
146,1450.0143060104226,0.014306010422615145
147,1450.0029556794843,0.002955679484330176
148,1449.9577568308596,-0.04224316914041992
149,1450.0090579478033,0.00905794780328506
150,1450.0128771995285,0.012877199528475103
151,1450.0586936816883,0.058693681688282595
152,1450.040257032922,0.04025703292199978
153,1449.9491270479045,-0.05087295209546028
154,1449.8911402075455,-0.10885979245449562
155,1449.8951909557852,-0.10480904421478954
156,1449.8579983997477,-0.14200160025234254
157,1449.8614201654498,-0.13857983455022804
