Step,Target_Temp,Temperature,Fuel,Fan,O2,Efficiency,Error
39,1300.0,1448.895657833335,18.225437138998984,950.0602614849458,2.3450657804277246,0.9319576072142738,148.895657833335
40,1300.0,1448.9961777200047,18.23098553618331,950.0615266796588,2.3458876268126745,0.9320765721347731,148.99617772000465
41,1300.0,1449.01717754427,18.22824868546105,950.062649205477,2.34667291130698,0.9321901774847348,149.01717754427
42,1300.0,1448.9976455816054,18.230671782234552,950.0639346615061,2.3473119044536146,0.9322825707256084,148.9976455816054
43,1300.0,1448.9517131173177,18.231430816078475,950.0652674752204,2.3478590942034083,0.9323616553305696,148.9517131173177
44,1300.0,1448.7402592036624,18.228190309381684,950.0665123188087,2.348413992884486,0.9324418214559475,148.7402592036624
45,1300.0,1448.6345577292718,18.248623799824202,950.0678594716996,2.348451839857122,0.9324472880039312,148.63455772927182
46,1300.0,1448.5647904449543,18.263448596731223,950.0691369221634,2.348159505415283,0.9324050597738419,148.56479044495427
47,1300.0,1448.707373943311,18.276775429927824,950.0704681120403,2.34761032235868,0.9323257046280421,148.70737394331104
48,1300.0,1448.7497605328592,18.282908660760434,950.0717225909814,2.346993687915219,0.9322365646275661,148.74976053285923
49,1300.0,1448.496896102492,18.290548892376044,950.0729523249228,2.3462846699980626,0.9321340196876523,148.49689610249197
50,1300.0,1448.5361537066362,18.303258757539435,950.0742095715973,2.3453833543877427,0.9320035855815129,148.53615370663624
51,1300.0,1448.4761804553393,18.327399863765645,950.075451555532,2.3440632680350424,0.9318123931926535,148.47618045533932
52,1300.0,1448.375376934061,18.351123976661935,950.0766858461827,2.342385551647877,0.9315691375512022,148.37537693406102
53,1300.0,1448.4548600914645,18.36742257969975,950.0778790097041,2.3405560974832933,0.9313035421070713,148.45486009146452
54,1300.0,1448.592977179642,18.38080755718616,950.0794350037669,2.338657584690139,0.9310275481799848,148.59297717964205
