step,temp,fuel,o2,reward,residual_fuel
28,1483.7704973400096,16.447172043453783,4.895575114035438,-0.3377784468536174,0.044227939844131474
29,1475.790619226322,16.49135297311458,4.884298228546136,-0.257910893281553,0.04418092966079712
30,1468.502676007446,16.535415367018313,4.871450403615095,-0.18503861365016747,0.0440623939037323
31,1454.0227214583686,16.57928462399158,4.857330191491786,-0.04024652827673208,0.0438692569732666
32,1440.8376358107787,16.62359903825435,4.8421302436171185,-0.09166815762116358,0.044314414262771606
33,1429.9116972512445,17.822840608967052,4.73166426520125,-0.2008831964667229,0.044312724471092226
34,1416.7609426550193,18.396346390384352,4.594215270442815,-0.3324097771722836,0.044120687246322635
35,1406.764984998526,18.74991850435546,4.45261318158718,-0.43236328628240245,0.04425204992294312
36,1399.2124394554555,18.947729770725253,4.32033433203782,-0.507937921505511,0.04362888932228089
37,1394.2973478800498,18.989575527494434,4.2084460401641675,-0.5572048344548125,0.0418457567691803
38,1391.481696092934,19.021257822101596,4.114108563712475,-0.5861993852868614,0.03168229460716248
39,1390.3078781325032,19.020926256759683,4.036778928541828,-0.6001226046698753,-0.00033156534191221
40,1394.259876527272,18.904113577413032,3.982914559858106,-0.5599865114301655,-0.026184332370758057
41,1398.67398508034,18.70128389590208,3.955321019110529,-0.5149364764847519,-0.04294760525226593
42,1403.2692409779734,18.658143779568118,3.936219726004327,-0.4673268413284359,-0.04314011633396149
43,1407.9298280317628,18.615011545948427,3.9240814317886423,-0.4207025079537993,-0.043132233619689944
44,1412.5732735908296,18.571970829300326,3.917645317896264,-0.3742764157888632,-0.04304071664810181
45,1424.3406529991184,18.529093494944018,3.915871640268111,-0.25660980823799495,-0.042877334356307986
46,1438.3257852534175,17.828042986782073,3.97170707214002,-0.11691457357037052,-0.04460159540176392
47,1452.5062604324548,17.78336514213848,4.02114319973926,-0.025070229248731264,-0.04467784464359284
48,1465.9456455920208,17.738651606233596,4.065334814524784,-0.15946002504633724,-0.04471353590488434
49,1477.7966329341343,17.69396340528297,4.105223858430598,-0.2779688628367694,-0.044688200950622564
50,1488.1840979587396,17.649490439684865,4.141567205182043,-0.38186250312264747,-0.04447296559810639
51,1497.0828383706744,17.605490439923283,4.174964429498744,-0.4708756802903963,-0.04399999976158142
52,1503.9541466085363,17.562492963464734,4.205863907214632,-0.5396417184156667,-0.042997476458549504
53,1508.4965513764564,17.523244461210247,4.2344088665458965,-0.5853404111849704,-0.03924850225448609
54,1511.9337936075237,17.503899627717015,4.2593965929906,-0.6213283029513627,-0.019344833493232728
55,1514.4339744264591,17.506956327872153,4.27963673513858,-0.6465798976294286,0.0030567001551389697
56,1516.1661461504277,17.527524046020385,4.29455285777285,-0.6634125633035864,0.02056771814823151
57,1517.2874802191634,17.557444516734954,4.3043389774661565,-0.6738100774482677,0.029920470714569092
58,1513.9954626761776,17.59197076054084,4.309542110970851,-0.6404152040709074,0.034526243805885315
59,1509.075113847969,16.010745537765622,4.443026405649891,-0.5916119234275629,0.043134093284606934
60,1502.3593167640809,16.05447286415875,4.548910130173858,-0.5236524909516606,0.043727326393127444
61,1494.4216100082517,16.098520762212875,4.632135190054527,-0.4442481572486167,0.04404789805412293
62,1485.8208394175363,16.224517666832117,4.690083272111191,-0.3582190115507365,0.04415407180786133
63,1476.9085142544614,16.26870041443458,4.733990085263582,-0.2690880101240737,0.04418274760246277
64,1467.9354669951306,16.31287768437019,4.766383505549405,-0.17935521771799132,0.044177269935607916
65,1459.1052130008272,16.357019432917742,4.789338846492474,-0.09105568214707772,0.04414174854755402
66,1450.6600973623504,16.401085450783878,4.80456115108577,-0.0066085466916456425,0.04406601786613465
67,1443.853364398263,17.481269720880302,4.728770782299993,-0.06148122856833425,0.04391729235649109
